#{"t_start": 1716814057.7257018, "env_id": "SpritesState-v2"}
r,l,t
31.9236,40,0.916116
29.564096,40,0.984069
27.704924,40,1.051178
28.783657,40,1.120789
25.530115,40,1.190593
24.343586,40,6.722039
22.019715,40,6.791227
30.747136,40,6.860757
34.748208,40,6.929494
29.86692,40,6.999052
30.017212,40,7.798891
26.399734,40,7.868292
27.92984,40,7.938513
27.532131,40,8.005792
30.388076,40,8.075909
26.712313,40,8.868298
22.671159,40,8.938036
27.881485,40,9.00641
27.495745,40,9.07604
34.696288,40,9.14501
28.112541,40,9.930048
29.267034,40,9.999031
27.0832,40,10.066884
25.155204,40,10.134145
31.012855,40,10.203542
30.387126,40,10.988992
27.540999,40,11.062564
32.022928,40,11.130918
23.771782,40,11.199327
31.017738,40,11.27077
30.10013,40,12.055022
24.62306,40,12.124699
35.062335,40,12.193668
24.82609,40,12.264027
24.258552,40,12.330596
21.922977,40,13.123364
30.042839,40,13.193106
31.29262,40,13.261616
31.916749,40,13.330393
26.290349,40,13.398862
26.121276,40,14.194885
29.744628,40,14.266593
34.516706,40,14.334459
29.777379,40,14.402887
30.182319,40,14.471479
32.851948,40,15.259876
30.122178,40,15.328449
28.396808,40,15.397616
28.161532,40,15.467396
22.308429,40,15.534773
29.227043,40,16.330259
34.033639,40,16.402457
21.172983,40,16.471744
26.378497,40,16.541735
23.455984,40,16.611552
27.900121,40,17.39998
29.692686,40,17.468175
27.949876,40,17.536343
28.54794,40,17.602695
32.602842,40,17.671439
29.237771,40,18.460113
26.403649,40,18.529734
30.274736,40,18.598252
29.022592,40,18.664368
25.043758,40,18.732548
27.646485,40,19.51874
27.917743,40,19.587857
27.021148,40,19.655292
26.843701,40,19.725708
26.242138,40,19.793219
31.230244,40,20.554482
29.709145,40,20.62221
31.638853,40,20.694252
29.635693,40,20.761251
22.97112,40,20.828582
25.123903,40,21.609095
28.110329,40,21.676261
30.484483,40,21.745858
27.032134,40,21.813884
26.206105,40,21.881793
35.352561,40,22.66295
27.729454,40,22.733834
32.138986,40,22.804595
23.547982,40,22.870385
30.952333,40,22.939708
29.013847,40,23.722058
31.262449,40,23.789451
29.975466,40,23.857109
27.920766,40,23.924191
30.012103,40,23.991064
32.74361,40,24.774194
32.370635,40,24.84541
30.968255,40,24.916101
31.688594,40,24.981256
30.746695,40,25.050757
29.512167,40,25.830846
30.044122,40,25.897222
27.996348,40,25.9654
28.958204,40,26.033597
24.217783,40,26.101578
28.491544,40,26.881213
26.750044,40,26.950552
29.997107,40,27.020625
31.211531,40,27.08886
26.693104,40,27.157088
28.778765,40,32.28628
33.488128,40,32.354878
30.382492,40,32.422043
25.600306,40,32.491424
24.485639,40,32.558813
30.256498,40,33.343647
32.226327,40,33.412543
30.138428,40,33.481706
31.334747,40,33.548278
34.347738,40,33.618508
30.462131,40,34.405675
27.791651,40,34.473495
31.698259,40,34.540433
33.09201,40,34.610574
30.872496,40,34.677643
29.857021,40,35.466442
29.352409,40,35.534877
29.978642,40,35.604035
31.231027,40,35.674829
28.44525,40,35.742651
31.482806,40,36.532828
29.464614,40,36.600296
29.565282,40,36.667831
30.217673,40,36.735674
32.867845,40,36.80438
33.244263,40,37.595963
27.743475,40,37.663939
31.968974,40,37.734914
33.766653,40,37.804184
34.49357,40,37.871434
32.52809,40,38.654818
36.122778,40,38.723688
29.492897,40,38.793061
34.192573,40,38.860615
37.222192,40,38.929674
31.473208,40,39.726282
31.812727,40,39.793825
31.017062,40,39.863826
34.453293,40,39.932079
31.174864,40,40.00086
32.180955,40,40.783146
27.031026,40,40.853347
30.644483,40,40.921461
31.264551,40,40.9892
31.197428,40,41.057621
35.988927,40,41.846737
29.589056,40,41.915793
28.857168,40,41.983067
32.99948,40,42.051856
33.104082,40,42.121146
29.617644,40,42.907549
29.846843,40,42.976111
33.642108,40,43.045504
33.303998,40,43.11457
32.065889,40,43.182407
32.710062,40,43.934436
28.912823,40,44.002255
30.72672,40,44.070124
33.827539,40,44.139131
35.256218,40,44.206221
27.023011,40,45.049489
36.365856,40,45.119261
31.372715,40,45.187888
32.238907,40,45.257257
36.47255,40,45.323808
31.072107,40,46.111703
30.829351,40,46.180609
33.642979,40,46.251242
34.583437,40,46.316896
29.934274,40,46.384586
30.379363,40,47.13388
31.192879,40,47.202941
31.497377,40,47.271512
26.952021,40,47.339785
26.21308,40,47.406659
30.379391,40,48.193418
30.642942,40,48.263068
28.862319,40,48.332192
26.188955,40,48.400194
30.058306,40,48.469408
32.605128,40,49.258651
29.552351,40,49.326522
33.148558,40,49.395857
30.582341,40,49.464609
30.782813,40,49.531255
27.495347,40,50.318655
29.8291,40,50.3871
32.132966,40,50.45768
33.806758,40,50.526922
31.250137,40,50.595569
36.581197,40,51.351655
29.694508,40,51.422614
36.443762,40,51.491376
34.114417,40,51.558701
35.015116,40,51.626154
33.755557,40,52.408737
32.643574,40,52.478499
33.819544,40,52.548275
29.781355,40,52.616362
33.995127,40,52.68602
31.897094,40,57.795986
33.543025,40,57.864115
34.001912,40,57.935639
27.535972,40,58.006238
31.39139,40,58.075096
32.340243,40,58.867878
32.216428,40,58.938375
32.128345,40,59.007105
32.151273,40,59.074561
36.696247,40,59.141975
31.361814,40,59.928367
35.6958,40,59.997919
34.720182,40,60.064869
25.836803,40,60.131905
30.432696,40,60.200757
31.338061,40,60.989981
30.481314,40,61.062105
28.185466,40,61.13212
34.462022,40,61.200711
31.036391,40,61.270319
32.540622,40,62.059413
29.88071,40,62.129766
33.170033,40,62.200468
30.848245,40,62.268732
33.542335,40,62.337342
32.542427,40,63.128953
32.147526,40,63.198684
29.285796,40,63.269026
29.954887,40,63.337383
30.228866,40,63.405316
31.942073,40,64.190232
29.628293,40,64.260474
34.722399,40,64.328999
33.169038,40,64.395965
30.878773,40,64.463238
32.192933,40,65.259858
33.926887,40,65.329024
33.70437,40,65.398785
29.039522,40,65.465695
33.864948,40,65.532775
31.556132,40,66.322789
34.367387,40,66.394307
28.50299,40,66.464485
28.370772,40,66.534274
33.710893,40,66.602538
32.744952,40,67.389223
33.017641,40,67.458424
34.119626,40,67.526822
29.730131,40,67.595955
31.057725,40,67.666236
28.307528,40,68.513168
32.268871,40,68.583856
30.791803,40,68.654906
35.416368,40,68.722271
33.411816,40,68.790153
33.382796,40,69.558194
33.244744,40,69.627195
33.989657,40,69.696584
32.06134,40,69.766383
32.63684,40,69.835029
32.495535,40,70.608386
32.639721,40,70.679815
31.620044,40,70.747193
35.829362,40,70.81503
32.417368,40,70.884078
32.290933,40,71.678176
33.070292,40,71.747156
35.331246,40,71.815967
33.583781,40,71.884313
33.551589,40,71.951696
32.101888,40,72.698742
34.28749,40,72.767513
33.201263,40,72.835721
30.985246,40,72.904934
29.802326,40,72.975214
33.434334,40,73.760645
35.458411,40,73.83135
33.089357,40,73.900531
30.218709,40,73.968565
32.521239,40,74.037982
36.323886,40,74.830838
35.086933,40,74.901182
32.645444,40,74.969158
30.245856,40,75.038385
31.159415,40,75.106786
34.164588,40,75.900399
29.831211,40,75.967505
31.673194,40,76.036943
30.424533,40,76.104573
32.685012,40,76.174577
34.056425,40,76.949467
35.116254,40,77.017941
31.85343,40,77.086303
31.055666,40,77.153661
34.545466,40,77.222729
32.807475,40,78.004525
33.462653,40,78.070543
33.049217,40,78.142518
30.699382,40,78.211528
30.361303,40,78.27976
32.219066,40,83.392617
34.743679,40,83.460569
33.713488,40,83.530286
34.692961,40,83.597882
27.795104,40,83.667008
35.137012,40,84.506475
30.971348,40,84.57573
31.62814,40,84.644401
31.765023,40,84.711283
33.35877,40,84.779569
33.969461,40,85.561994
32.891852,40,85.629415
32.2887,40,85.696993
33.750286,40,85.76509
31.014118,40,85.83135
31.609975,40,86.616599
29.17227,40,86.687544
34.691512,40,86.754629
31.275663,40,86.821136
32.447271,40,86.889241
36.266779,40,87.665951
32.340104,40,87.734034
32.877901,40,87.802333
31.179463,40,87.869198
30.35556,40,87.939346
35.29238,40,88.697035
35.469104,40,88.76624
33.768211,40,88.83593
35.183684,40,88.904706
30.968167,40,88.975361
35.30116,40,89.761915
28.848394,40,89.828912
30.286846,40,89.898786
30.244443,40,89.968054
32.582677,40,90.035049
33.010854,40,90.819986
31.094334,40,90.89305
32.692184,40,90.961059
34.858679,40,91.028445
34.147895,40,91.097718
30.149857,40,91.887046
35.949834,40,91.953715
32.721246,40,92.023026
29.530691,40,92.091222
32.711687,40,92.160365
31.201467,40,92.944712
34.030885,40,93.015702
34.113112,40,93.083133
34.367567,40,93.151262
34.083906,40,93.219745
34.416516,40,94.056391
35.461805,40,94.124693
32.320028,40,94.194
32.064856,40,94.260942
30.913352,40,94.330139
33.255807,40,95.115955
31.459011,40,95.186785
29.176201,40,95.257848
32.891088,40,95.329042
30.615952,40,95.397861
32.642586,40,96.183126
28.752556,40,96.253236
35.49389,40,96.324788
29.747685,40,96.393512
33.435076,40,96.461872
31.433127,40,97.253127
30.70119,40,97.322197
32.09087,40,97.391828
35.289074,40,97.459319
33.468566,40,97.527727
29.069782,40,98.311001
33.165067,40,98.378035
31.395367,40,98.446626
33.521955,40,98.514499
32.753021,40,98.58154
34.127991,40,99.364763
30.577649,40,99.432677
32.493164,40,99.503498
34.175252,40,99.569993
33.642207,40,99.638346
32.777675,40,100.430406
34.831825,40,100.500241
33.95197,40,100.569181
31.542268,40,100.635913
34.403841,40,100.707403
29.496395,40,101.505561
32.346829,40,101.575566
30.055843,40,101.645184
33.525654,40,101.713544
35.303451,40,101.780126
35.281992,40,102.530704
31.410974,40,102.599599
35.22278,40,102.669291
35.31412,40,102.738371
31.296875,40,102.807234
33.534687,40,103.598204
33.194821,40,103.66846
32.822051,40,103.739056
31.824983,40,103.806526
29.608377,40,103.875252
33.071236,40,109.010229
31.830021,40,109.08015
34.202013,40,109.14742
30.522008,40,109.218371
31.659891,40,109.285752
34.379763,40,110.076874
33.270102,40,110.146651
34.150755,40,110.218513
31.99087,40,110.285904
32.237204,40,110.351528
29.383491,40,111.100847
35.43143,40,111.172385
32.803042,40,111.241521
32.242659,40,111.309973
35.543467,40,111.379328
35.069144,40,112.167205
32.247692,40,112.23647
34.794264,40,112.30723
34.223845,40,112.373754
33.603167,40,112.444046
