Update,Num Timesteps,FPS,Mean Reward,Median Reward,Min Reward,Max Reward,Dist Entropy,Value Loss,Action Loss
0,3200,1856,29.626183200000003,29.555258000000002,23.801508,35.447511,2.8475784743204713,32.967493660748005,-0.0022671513193017745
1,6400,599,27.998869300000003,29.14645,21.894869,31.151306,2.8490807814523578,31.87599901854992,-0.009970094569780485
2,9600,799,28.016130600000004,27.8633965,22.856778,31.118661,2.84728373400867,29.58044444024563,-0.01843922523130459
3,12800,960,28.675562000000003,29.295722,23.591262,32.085951,2.839677951298654,27.531564339995384,-0.027310418651950386
4,16000,1093,28.829727100000003,29.7405295,19.195923,33.690154,2.837877035140991,26.92434787750244,-0.031901354797582826
5,19200,1203,28.1237842,27.9643515,23.739156,31.087139,2.837877035140991,27.316465094685555,-0.03513180868822019
6,22400,1296,29.238343099999998,29.413978999999998,25.209846,33.631244,2.837877035140991,28.452778212726116,-0.03780417508278333
7,25600,1377,27.5488852,27.3640835,24.109291,31.862842,2.837877035140991,25.268912315368652,-0.0409844152040435
8,28800,1446,27.078268,27.257666999999998,23.458136,30.345716,2.837877035140991,24.67958005517721,-0.04217449177383514
9,32000,1508,26.7313787,26.731771000000002,22.685798,32.696899,2.837877035140991,24.7606363594532,-0.041161133326255595
10,35200,1561,28.558462,28.7036565,25.600017,32.587142,2.837877035140991,24.023555777966976,-0.04176403509626425
11,38400,1610,29.627448300000005,30.5479725,23.266483,32.757075,2.837877035140991,23.290663100779057,-0.04127964956217056
12,41600,1653,27.4085143,27.1471165,24.076505,30.796417,2.837877035140991,23.14155388623476,-0.044448643782288855
13,44800,1689,28.3424866,28.7447745,23.398107,32.429204,2.837877035140991,23.52033205330372,-0.043783361053442604
14,48000,1721,28.3322252,28.617154499999998,25.077688,32.232327,2.837877035140991,21.861297458410263,-0.04264210317501238
15,51200,1748,28.989536499999996,28.9033035,24.064399,32.957087,2.837877035140991,22.1051240041852,-0.044973083293825766
16,54400,1774,27.8370019,28.4436385,22.493328,32.263144,2.837877035140991,21.342211700975895,-0.042534158664466304
17,57600,1801,28.682209300000004,28.287093499999997,21.776985,34.693929,2.837877035140991,20.605363681912422,-0.041508532137982
18,60800,1823,28.222301299999998,28.5063645,23.963345,32.941854,2.837877035140991,20.365383680909872,-0.04151714990675259
19,64000,1847,28.129165,28.532985,21.704611,34.963459,2.837877035140991,19.67138298228383,-0.04191708815483253
20,67200,1867,29.689505199999996,28.8984235,27.411313,33.361261,2.837877035140991,20.400555696338415,-0.04308286455011512
21,70400,1691,28.868418499999997,28.8570185,25.704581,33.135874,2.837877035140991,19.32393253222108,-0.04082547090752087
22,73600,1716,28.8945241,28.194495500000002,24.747308,34.462991,2.837877035140991,19.65417079627514,-0.03843785802274624
23,76800,1737,29.188420499999996,29.2660325,26.280471,32.052379,2.837877035140991,18.91081604361534,-0.0402489625328144
24,80000,1756,27.564482999999996,29.0425325,20.91025,32.006819,2.837877035140991,18.090398620814085,-0.03999956998723064
25,83200,1774,27.628268000000002,28.145871,23.806477,30.69315,2.837877035140991,18.17729840427637,-0.043834786473780696
26,86400,1792,28.027518800000003,28.0716265,25.529834,30.169402,2.837877035140991,18.52946712076664,-0.042593957894894174
27,89600,1807,29.3412329,29.483838499999997,23.059838,32.912271,2.837877035140991,18.193193446844816,-0.03813821154517427
28,92800,1822,27.895074799999996,29.17091,20.286964,32.704039,2.837877035140991,18.206442527472973,-0.042296592286902523
29,96000,1839,29.352690799999998,29.898711,24.927599,34.0583,2.837877035140991,18.227701019495726,-0.03793106085186082
30,99200,1852,29.106994800000002,28.726557999999997,26.808266,32.383442,2.837877035140991,16.8907453045249,-0.039194009249627015
31,102400,1863,28.7669355,27.9214095,24.594951,35.300001,2.837877035140991,17.218438431620598,-0.04197866835966124
32,105600,1875,28.7411201,28.834131499999998,22.590658,36.035082,2.837877035140991,16.960705883800983,-0.03617891792987393
33,108800,1888,28.6758739,29.263074500000002,22.154232,32.724325,2.837877035140991,17.74813899025321,-0.03539262679319677
34,112000,1900,28.4013482,28.591993,22.224935,33.405745,2.837877035140991,17.43442726507783,-0.03016597203497895
35,115200,1911,28.433690000000002,29.218075499999998,25.174533,31.140228,2.837877035140991,16.21334344521165,-0.03690784759169219
36,118400,1919,26.1298919,26.5241385,19.741458,31.022211,2.837877035140991,16.99789960309863,-0.03045153378343457
37,121600,1930,30.481338,29.868628,27.468055,33.453814,2.837877035140991,17.560278318822384,-0.04039225770543453
38,124800,1940,29.1513529,29.9119555,23.245049,31.935608,2.837877035140991,16.969869520515203,-0.036920322511150516
39,128000,1949,27.289806600000002,27.874079000000002,21.199176,32.76831,2.837877035140991,17.017605043947697,-0.032548845531209736
40,131200,1957,28.693908300000004,28.9301675,25.875634,30.669217,2.837877035140991,17.11745797470212,-0.03440720595800428
41,134400,1844,28.65568,29.634736,21.977265,32.238781,2.837877035140991,17.60309938341379,-0.03581835136913014
42,137600,1852,28.080463,28.485719000000003,21.625975,33.784112,2.837877035140991,16.463265728205442,-0.03555252204198034
43,140800,1862,29.2293328,29.388966,22.85844,33.217319,2.837877035140991,17.201601155102253,-0.034227134141247006
44,144000,1871,28.335981699999998,28.87596,21.324135,35.589965,2.837877035140991,16.51373416930437,-0.03304026534283366
45,147200,1880,30.0131396,30.306176,24.281348,33.482911,2.837877035140991,17.549215599894524,-0.03286775424658117
46,150400,1889,28.7085778,29.0799265,21.433745,33.086972,2.837877035140991,17.22903861105442,-0.0356325259654966
47,153600,1898,28.874832500000004,29.023438,23.06601,32.532417,2.837877035140991,17.189026962965727,-0.03530205250490326
48,156800,1905,28.3362797,29.001056,20.990973,32.611695,2.837877035140991,18.069501593708992,-0.02914144218493675
49,160000,1909,28.010880799999995,28.573358,23.129573,32.258904,2.837877035140991,16.70232403278351,-0.03056723991647914
50,163200,1916,27.2941488,27.605657,22.138746,33.619306,2.837877035140991,17.344365771859884,-0.03511250899282459
51,166400,1921,27.040849400000003,26.405108,20.274091,35.236702,2.837877035140991,17.38341176137328,-0.02637280510469253
52,169600,1926,29.017106899999998,28.499125,25.105796,35.563783,2.837877035140991,17.16219986230135,-0.03238853584275603
53,172800,1931,30.1104844,30.5851075,21.015847,34.526903,2.837877035140991,16.97733637318015,-0.03453846801846794
54,176000,1936,27.435951499999998,28.0901195,18.696467,33.518532,2.837877035140991,17.650056153535843,-0.029151306353924156
55,179200,1942,28.177419500000003,28.294972,23.349251,31.474449,2.837877035140991,17.907162059098482,-0.03162011299616552
56,182400,1948,28.743082999999995,29.057665,24.596744,31.566537,2.837877035140991,17.9938234873116,-0.03195313960554813
57,185600,1953,29.0128496,29.0432725,25.371659,32.611158,2.837877035140991,18.61404301598668,-0.03343840832584988
58,188800,1958,29.654771099999998,29.606809,24.170136,35.433601,2.837877035140991,18.135402228683233,-0.03320145590700463
59,192000,1963,28.0391619,27.822313,24.888401,31.565045,2.837877035140991,17.429895419627428,-0.029842660501572027
60,195200,1968,27.2984344,28.5513295,20.259644,33.374522,2.837877035140991,18.222986303269863,-0.0313986997568918
61,198400,1890,28.7753581,30.055078,19.88598,31.089648,2.837877035140991,17.73183971643448,-0.029403393457300808
62,201600,1895,28.822545299999994,29.1830095,23.349297,32.492345,2.837877035140991,17.578442346304655,-0.037259872534590954
63,204800,1900,28.257329699999996,28.103488,24.311991,31.853863,2.837877035140991,17.961379516869783,-0.030518312994445296
64,208000,1904,29.419480699999998,30.015683,24.007496,33.75035,2.837877035140991,18.185291104018688,-0.035532618128712556
65,211200,1908,27.7129793,28.438036,22.491553,30.532416,2.837877035140991,17.96801607683301,-0.030399996496498716
66,214400,1912,29.737150399999997,29.735851500000003,23.833277,33.344648,2.837877035140991,17.732749331742525,-0.0345705723291303
67,217600,1917,29.761066000000007,30.1220305,26.641551,31.67796,2.837877035140991,18.36531800404191,-0.035396927221881924
68,220800,1921,29.4432366,30.216976,23.105758,31.966375,2.837877035140991,18.329405184835196,-0.0341771337729142
69,224000,1923,30.505809699999997,30.157843,27.829465,34.198752,2.837877035140991,18.660047482699156,-0.032666593132034905
70,227200,1927,27.108518600000004,27.531532,23.687944,29.34673,2.837877035140991,18.098798915743828,-0.03293249927918396
71,230400,1931,28.336674999999996,28.7784325,22.625697,31.332909,2.837877035140991,18.28711785003543,-0.03357652635645536
72,233600,1935,29.099340899999998,29.1879555,23.483479,33.373273,2.837877035140991,18.116066366434097,-0.031130668302012054
73,236800,1939,27.3190614,27.813023,21.598189,31.438613,2.837877035140991,18.281522259116173,-0.02811549641455713
74,240000,1942,28.439333999999995,29.2042005,24.435078,31.518988,2.837877035140991,18.684489347040653,-0.03074587136219975
75,243200,1946,28.1679755,28.523425000000003,20.073031,30.829223,2.837877035140991,18.341297678649426,-0.02846144500290393
76,246400,1951,29.705993799999998,31.3425315,19.211701,35.079803,2.837877035140991,18.208243135362864,-0.033009260535436624
77,249600,1955,29.295890500000002,29.273914,24.968479,33.041656,2.837877035140991,19.89149786159396,-0.03492491528993469
78,252800,1959,29.2228523,29.1749775,27.379272,30.684998,2.837877035140991,20.349795795977116,-0.03386749292303648
79,256000,1962,29.519171200000006,29.614459,23.487144,33.510117,2.837877035140991,19.477293968200684,-0.02939135386691305
80,259200,1965,29.277353599999998,29.011806999999997,26.146429,32.383642,2.837877035140991,20.916859570890665,-0.029359741891141766
81,262400,1906,28.2216861,28.9831605,21.687765,31.216405,2.837877035140991,18.935591727495193,-0.027613071913492604
82,265600,1910,30.661670499999996,29.5589045,25.962344,35.883913,2.837877035140991,19.267714507877827,-0.026108284666833015
83,268800,1915,28.8600542,29.239824499999997,23.594177,31.758607,2.837877035140991,19.979434333741665,-0.035766089580363314
84,272000,1921,28.939631900000002,29.4047055,23.818331,32.567747,2.837877035140991,19.96200191602111,-0.032158198088950485
85,275200,1925,28.244731899999998,29.618982000000003,20.502171,32.384722,2.837877035140991,20.514126546680927,-0.03361300277629198
86,278400,1928,28.727142000000004,27.8696225,25.622708,34.459016,2.837877035140991,21.452164992690086,-0.03396526396215904
87,281600,1930,27.7896054,28.586516500000002,18.436686,33.982154,2.837877035140991,19.52986518293619,-0.03734109716947387
88,284800,1934,27.1796229,27.134864,24.628873,31.174443,2.837877035140991,20.70677975937724,-0.0305354887649969
89,288000,1937,29.4844894,29.138389,26.235099,32.191918,2.837877035140991,18.818880580365658,-0.029491524014503057
90,291200,1941,28.2689951,28.519196,18.479929,34.035185,2.837877035140991,19.741747613996267,-0.030288117308913343
91,294400,1943,28.661636700000003,28.7266755,25.351676,33.884788,2.837877035140991,19.59497207403183,-0.027794591968586246
92,297600,1946,28.0944298,26.5169025,24.114411,35.958432,2.837877035140991,19.880150768905878,-0.028808783224064882
93,300800,1951,29.858646200000003,29.4564905,26.305044,35.262961,2.837877035140991,21.268759813159704,-0.029744056655999884
94,304000,1954,30.045979199999998,29.926067000000003,24.253272,35.281036,2.837877035140991,22.60485827922821,-0.029414416820138456
95,307200,1958,29.033848200000005,28.235178500000004,24.667252,36.31257,2.837877035140991,19.957044187933207,-0.029138684605641174
96,310400,1961,29.571704400000005,30.4304755,25.694042,34.2004,2.837877035140991,21.16631732136011,-0.028755655580653183
97,313600,1965,28.315989000000002,28.313805000000002,26.513171,30.497234,2.837877035140991,20.45083312317729,-0.030767850905505156
98,316800,1968,27.5382244,27.5485305,22.482335,31.493064,2.837877035140991,20.910843964666128,-0.027998828090176175
99,320000,1971,28.720579400000002,29.3485665,24.503399,31.61832,2.837877035140991,20.026978813111782,-0.03446578362348873
100,323200,1974,29.4464939,29.3386445,25.1617,34.019679,2.837877035140991,19.588696364313364,-0.03203746097437943
101,326400,1889,28.144015200000002,28.4779635,23.98527,32.851913,2.837877035140991,21.33123406022787,-0.027210246136178284
102,329600,1892,29.563090600000002,30.250158,24.050008,34.179769,2.837877035140991,18.541375748813152,-0.03049024013989765
103,332800,1895,28.7424888,29.2190405,21.753695,31.136429,2.837877035140991,20.59658696502447,-0.027772750065480523
104,336000,1897,29.270770799999998,29.805808,22.036778,33.480249,2.837877035140991,22.83484423905611,-0.026061310000898175
105,339200,1898,28.9127201,28.89877,25.55333,32.615323,2.837877035140991,20.28508549556136,-0.027418714317263948
106,342400,1900,29.44750270000001,28.7797325,23.494853,33.626933,2.837877035140991,22.008312445133924,-0.031169671699444734
107,345600,1902,30.2042797,30.2791555,27.488844,32.246878,2.837877035140991,21.6499706171453,-0.0305349755556108
108,348800,1905,28.4485339,27.866622,22.420958,34.596153,2.837877035140991,20.869920294731855,-0.030995849421401545
109,352000,1908,31.2538523,30.6998805,28.386888,35.434285,2.837877035140991,21.60579039901495,-0.026276243618610806
110,355200,1911,28.019137100000002,29.0222725,20.69678,32.527826,2.837877035140991,21.960894264280796,-0.03236040167757892
111,358400,1914,30.036393800000003,30.598288500000002,24.068449,32.509581,2.837877035140991,20.1384203620255,-0.032601257336864364
112,361600,1917,26.834958800000003,27.327289,23.668389,29.982978,2.837877035140991,18.238839469850063,-0.031594035259786324
113,364800,1918,29.0401231,30.0648335,20.165452,32.320605,2.837877035140991,20.9458784237504,-0.031675538704575956
114,368000,1921,28.4624504,28.370457000000002,24.697964,31.95739,2.837877035140991,20.284763272851706,-0.033529305415541444
115,371200,1923,29.716993100000003,30.839464,24.137906,35.49611,2.837877035140991,21.048529032617807,-0.03488942836844444
116,374400,1926,30.9982912,31.1627175,27.847145,34.419994,2.837877035140991,24.20950459688902,-0.02774369527956111
117,377600,1927,28.355010600000004,29.424727500000003,19.670734,33.789042,2.837877035140991,22.79790237173438,-0.032042549683581
118,380800,1929,27.0405547,26.155021499999997,21.42569,34.716222,2.837877035140991,22.561357706785202,-0.03605419996199544
119,384000,1932,28.9266644,29.53668,25.30346,30.571171,2.837877035140991,24.660289451479912,-0.031095990771945026
120,387200,1934,30.0847017,30.069233500000003,27.62274,33.939196,2.837877035140991,25.068494871258736,-0.031699200114132964
121,390400,1896,28.826754599999997,29.301276,23.919068,34.212577,2.837877035140991,24.715942479670048,-0.03461774938594431
122,393600,1898,30.229038000000003,29.096322999999998,27.983964,34.863666,2.837877035140991,27.4337959587574,-0.031630234039084826
123,396800,1901,29.464549299999998,28.9986405,25.419584,35.370198,2.837877035140991,25.722737953066826,-0.029851478985278845
