Update,Num Timesteps,FPS,Mean Reward,Median Reward,Min Reward,Max Reward,Dist Entropy,Value Loss,Action Loss
0,3200,1885,28.4209158,28.656613,25.08582,31.038607,2.8431527139618993,30.69136530160904,-0.04088585593171956
1,6400,592,28.320504699999997,28.5097295,22.847866,32.561186,2.8394691897556186,30.43016617000103,-0.039192220419295154
2,9600,794,27.0454059,26.262572,20.333993,32.416434,2.837877035140991,28.91612871736288,-0.04063217340899428
3,12800,957,27.841879400000003,28.414887999999998,21.743529,32.533088,2.837877035140991,30.470930762588978,-0.039509903528824
4,16000,1092,27.127135900000003,27.5349875,22.470251,33.181343,2.837877035140991,30.15678995102644,-0.036578140256551706
5,19200,1205,25.872704799999998,24.324477,22.382534,33.346492,2.837877035140991,29.55448443442583,-0.041428268422578185
6,22400,1302,27.0128954,27.05187,23.010844,31.207459,2.837877035140991,28.98217421770096,-0.03714797138945869
7,25600,1383,27.264354200000003,27.9614665,20.539426,31.033967,2.837877035140991,29.348912574350834,-0.036936079179383796
8,28800,1457,26.830575399999997,27.175732500000002,19.777339,33.561494,2.837877035140991,29.95240444689989,-0.039489055568992626
9,32000,1517,28.4774253,28.5240655,23.657198,32.039612,2.837877035140991,31.34869659692049,-0.039161382500424224
10,35200,1572,29.120685299999998,28.2631535,24.887964,33.353742,2.837877035140991,30.349081471562386,-0.04196060265667256
11,38400,1622,28.502546099999996,28.9451255,23.793169,31.52632,2.837877035140991,30.70924089103937,-0.04036968448389189
12,41600,1657,27.314547499999996,28.785094,20.815012,30.633183,2.837877035140991,29.267959512770176,-0.04057453101603414
13,44800,1695,27.8421783,27.3913455,22.187119,33.526812,2.837877035140991,31.47477651387453,-0.03996586692210258
14,48000,1730,28.770559900000002,29.6849065,22.249129,32.322549,2.837877035140991,30.75784605741501,-0.03911401224694444
15,51200,1762,28.1658341,29.2973445,21.826795,33.446356,2.837877035140991,29.121155001223087,-0.04162551975619522
16,54400,1789,28.070658400000003,28.540156500000002,23.884459,32.649638,2.837877035140991,30.029421091079712,-0.04030915547355107
17,57600,1816,28.138016000000004,27.902744,24.665227,33.485232,2.837877035140991,30.118860013782978,-0.04142588796008795
18,60800,1841,27.9367251,27.85889,23.172432,32.468829,2.837877035140991,30.283955290913582,-0.03770499917205594
19,64000,1862,27.468485499999996,26.5853905,20.886745,32.206455,2.837877035140991,30.30729603767395,-0.042119092166785776
20,67200,1880,28.9732002,28.878260500000003,23.334909,33.030717,2.837877035140991,30.12205509841442,-0.04255239455915216
21,70400,1690,28.737684899999998,28.3663855,23.482473,37.261717,2.837877035140991,28.99090964347124,-0.04179650010496516
22,73600,1585,27.890303199999998,28.593928,23.664311,30.270331,2.837877035140991,29.783177137374878,-0.04454106378720013
23,76800,1555,29.4897825,29.731772999999997,25.052092,32.963104,2.837877035140991,31.926504001021385,-0.038650107693229074
